icd,kw
T14.8,tổn thương khác của vùng cơ thể không xác định
T02.7,gãy xương liên quan ngực với lưng dưới và khung chậu với chi
T02.70,"gãy xương liên quan ngực với lưng dưới và khung chậu với chi , gãy kín"
T02.71,"gãy xương liên quan ngực với lưng dưới và khung chậu với chi , gãy hở"
S97.0,tổn thương giập nát tại cổ chân
S97.1,tổn thương giập nát tại ngón chân
S97.8,tổn thương giập nát tại phần khác của cổ chân và bàn chân
T03.1,"trật khớp , bong gân , căng cơ liên quan của ngực với lưng dưới và khung chậu"
T03.2,"trật khớp , bong gân , căng cơ liên quan nhiều vùng chi trên"
T03.3,"trật khớp , bong gân , căng cơ liên quan nhiều của vùng chi dưới"
T05.8,chấn thương đứt lìa liên quan đến nhiều vùng khác nhau của cơ thể
T05.9,đa chấn thương đứt lìa không xác định
T06,"tổn thương khác tác động nhiều vùng cơ thể , không phân loại nơi khác"
T06.0,tổn thương của não và dây thần kinh sọ với tổn thương của dây thần kinh và cột sống tại tầm cổ
T05.6,chấn thương đứt lìa cả chi trên và chi dưới ( bất kể sự kết hợp và ở tầm nào )
T05.1,chấn thương đứt lìa một bàn tay và tay khác ( tầm bất kỳ trừ bàn tay )
T05.2,chấn thương đứt lìa cả hai tay ( tầm bất kỳ )
T04.7,"tổn thương giập nát của ngực với bụng , lưng dưới và khung chậu với các chi"
T04.8,tổn thương giập nát liên quan kết hợp các vùng cơ thể
T04.9,"đa tổn thương giập nát , không xác định"
T05,chấn thương đứt lìa tác động nhiều vùng cơ thể
T05.0,chấn thương đứt lìa cả hai bàn tay
T05.3,chấn thương đứt lìa cả hai bàn chân
T05.4,chấn thương đứt lìa một bàn chân và chân khác ( tầm bất kỳ trừ bàn chân )
T05.5,chấn thương đứt lìa cả hai chân ( tầm bất kỳ )
T03.4,"trật khớp , bong gân , căng cơ liên quan của nhiều vùng của chi trên và chi dưới"
T03.8,"trật khớp , bong gân , căng cơ liên quan kết hợp khác của các vùng cơ thể"
T03.9,"trật nhiều khớp , bong gân , căng cơ không xác định"
T04,tổn thương giập nát liên quan nhiều vùng cơ thể
T04.0,tổn thương giập nát liên quan đầu với cổ
S95.0,tổn thương động mạch mu bàn chân
S95.1,tổn thương động mạch gan bàn chân
S95.2,tổn thương tĩnh mạch mu bàn chân
S95.7,tổn thương đa mạch máu tại tầm cổ chân và bàn chân
T01.1,"vết thương hở liên quan ngực với bụng , dưới lưng và khung chậu"
T01.2,vết thương hở ở tác động nhiều vùng của chi trên
T01.3,vết thương hở liên quan của nhiều vùng của chi dưới
S96.0,tổn thương cơ và gân cơ gấp dài của ngón tại tầm cổ chân và bàn chân
S96.1,tổn thương cơ và gân cơ duỗi dài của ngón tại tầm cổ chân và bàn chân
S95.8,tổn thương mạch máu khác tại tầm cổ chân và bàn chân
S95.9,tổn thương mạch máu không xác định tầm cổ chân và bàn chân
S96,tổn thương cơ bắp và gân tại tầm cổ chân và bàn chân
S96.8,tổn thương cơ khác và gân tại tầm cổ chân và bàn chân
S96.9,tổn thương cơ không xác định và gân tầm cổ chân và bàn chân
S97,tổn thương giập nát tại cổ chân và bàn chân
S96.2,tổn thương cơ nội tại và gân tại tầm cổ chân và bàn chân
S96.7,tổn thương đa cơ và gân tại tầm cổ chân và bàn chân
T02.1,"gãy xương liên quan ngực , dưới lưng và khung chậu"
T02.10,"gãy xương liên quan ngực , dưới lưng và khung chậu , gãy kín"
T01.6,vết thương hở với tác động của nhiều vùng chi trên và chi dưới
T01.8,vết thương hở liên quan kết hợp khác của nhiều vùng cơ thể
S98,chấn thương đứt lìa cổ chân và bàn chân
S98.0,chấn thương đứt lìa bàn chân tại tầm cổ chân
S98.1,chấn thương đứt lìa một ngón chân
S30.8,"tổn thương nông khác của bụng , lưng dưới và vùng chậu"
S30.9,"tổn thương nông của bụng , lưng dưới và vùng chậu , phần không xác định"
S31,"vết thương hở của bụng , lưng dưới và vùng chậu"
S46.0,tổn thương của các cơ và gân dải quay của vai
S44.2,tổn thương thần kinh quay tại cánh tay trên
S44.3,tổn thương dây thần kinh hố nách
S44.4,tổn thương dây thần kinh cơ - da
S44.5,tổn thương dây thần kinh cảm giác - da tai vai và cánh tay trên
S46.1,tổn thương cơ và gân của đầu dài cơ nhị đầu
S45.1,tổn thương động mạch cánh tay
S45.2,tổn thương tĩnh mạch nách hay cánh tay
S45.3,tổn thương tĩnh mạch máu nông tại vai hay cánh tay trên
S46.2,tổn thương cơ và gân của các phần khác của cơ nhị đầu
S44,tổn thương dây thần kinh tại vai và cánh tay trên
S44.0,tổn thương thần kinh trụ tại tầm cánh tay
S44.1,tổn thương dây thần kinh giữa tại cánh tay trên
S44.7,tổn thương nhiều dây thần kinh tại vai và cánh tay trên
S44.8,tổn thương các dây thần kinh khác tại vai và cánh tay trên
S44.9,tổn thương dây thần kinh không xác định tại vai và cánh tay trên
S45,tổn thương mạch máu tại vai cánh tay trên
S45.0,tổn thương động mạch nách
S45.9,tổn thương mạch máu không xác định tại vai và cánh tay trên
S46,tổn thương cơ và gân tại vai và cánh tay trên
S45.7,tổn thương nhiều mạch máu tại vai và cánh tay trên
S45.8,tổn thương các máchmau khác tại vai và cánh tay trên
S30.0,đụng giập của lưng dưới và vùng chậu
S30.1,đụng giập thành bụng
S30.2,đụng giập cơ quan sinh dục ngoài
S30.7,"nhiều ( đa ) tổn thương nông ở bụng , lưng dưới và vùng chậu"
S43.3,trật khớp các phần không xác định và các phần khác của vòng ngực
S43.4,bong gân và giãn khớp của vai
S33.0,vỡ đĩa liên đốt thắt lưng do chấn thương
S33.1,trật khớp sống thắt lưng
S33.2,trật khớp cùng chậu và cùng cụt
S43.5,bong gân và giãn khớp mỏm cùng vai - đòn
S43.6,bong gân và căng cơ của khớp ức đòn
S43.7,bong gân và giãn khớp của các phần khác và không xác định của vòng ngực
S43.0,trật khớp vai
S43.1,trật khớp mỏm cùng vai - đòn
S43.2,trật khớp ức - đòn
S42.41,"gãy phần dưới xương cánh tay , gãy hở"
S42.7,"gãy nhiều xương đòn , xương vai và xương cánh tay"
S42.70,"gãy nhiều xương đòn , xương vai và xương cánh tay , gãy kín"
S42.71,"gãy nhiều xương đòn , xương vai và xương cánh tay , gãy hở"
S42.8,gãy các phần khác của xương vai và xương cánh tay
S42.3,gãy thân xương cánh tay
S42.30,"gãy thân xương cánh tay , gãy kín"
S42.31,"gãy thân xương cánh tay , gãy hở"
S42.4,gãy phần dưới xương cánh tay
S42.40,"gãy phần dưới xương cánh tay , gãy kín"
S42.0,gãy xương đòn
S42.00,"gãy xương đòn , gãy kín"
S42.01,"gãy xương đòn , gãy hở"
S42.1,gãy xương vai
S42.10,"gãy xương vai , gãy kín"
S42.11,"gãy xương vai , gãy hở"
S42.2,gãy phần trên xương cánh tay
S42.20,"gãy phần trên xương cánh tay , gãy kín"
S42.21,"gãy phần trên xương cánh tay , gãy hở"
S42.80,"gãy các phần khác của xương vai và xương cánh tay , gãy kín"
S42.81,"gãy các phần khác của xương vai và xương cánh tay , gãy hở"
S42.9,"gãy xương của vòng ngực , phần không xác định"
S82.81,"gãy xương ở các phần khác của cẳng chân , gãy hở"
S82.9,"gãy xương cẳng chân , phần không xác định"
S82.90,"gãy xương cẳng chân , phần không xác định , gãy kín"
S82.91,"gãy xương cẳng chân , phần không xác định , gãy hở"
S83,"trật khớp , bong gân và căng cơ khớp và dây chằng khớp gối"
S56.5,tổn thương gân và cơ duỗi khác ở tầm cẳng tay
S56.7,tổn thương đa gân và cơ ở tầm cẳng tay
S85.1,tổn thương ( phía trước ) ( phía sau ) động mạch chày
S85.2,tổn thương động mạch mác
S85.3,tổn thương tĩnh mạch hiển lớn tại tầm cẳng chân
S86.1,tổn thương cơ khác và gân nhóm cơ sau tại tầm cẳng chân
S86.2,tổn thương cơ khác và gân nhóm cơ trước tại tầm cẳng chân
S87,tổn thương giập nát tại cẳng chân
S87.0,tổn thương giập nát khớp gối
S87.8,tổn thương giập nát phần khác và không xác định của cẳng chân
S88,chấn thương đứt lìa ở cẳng chân
S88.0,chấn thương đứt lìa tầm khớp gối
S85.9,tổn thương mạch máu không xác định tại tầm cẳng chân
S86,tổn thương cơ bắp và gân tại tầm cẳng chân
S86.0,tổn thương gân gót ( achille )
S85.4,tổn thương tĩnh mạch hiển nhỏ tại tầm cẳng chân
S85.5,tổn thương tĩnh mạch kheo
S85.7,tổn thương đa mạch máu tại tầm cẳng chân
S85.8,tổn thương mạch máu khác tại tầm cẳng chân
S86.3,tổn thương cơ bắp và gân nhóm cơ trước tại tầm cẳng chân
S86.7,tổn thương đa cơ và gân tại tầm cẳng chân
S86.8,tổn thương cơ khác và gân tại tầm cẳng chân
S86.9,tổn thương cơ không xác định và gân tầm cẳng chân
S84.8,tổn thương dây thần kinh khác tại tầm cẳng chân
S84.9,tổn thương dây thần kinh không xác định tầm cẳng chân
S85,tổn thương mạch máu tại tầm cẳng chân
S85.0,tổn thương động mạch kheo
S70.8,các tổn thương nông khác tại hông và đùi
S70.9,"tổn thương nông tại hông và đùi , không đặc hiệu"
S71,vết thương hở ở hông và đùi
S79.8,tổn thương khác xác định của hông và đùi
S79.9,tổn thương không xác định của hông và đùi
S80,tổn thương nông tại cẳng chân
S80.9,tổn thương nông tại cẳng chân không xác định
S81,vết thương hở tại cẳng chân
S81.0,vết thương thấu khớp gối
S81.7,đa vết thương hở chi dưới
S81.8,vết thương hở phần khác của chi dưới
S81.9,"vết thương hở chi dưới , phần không xác định"
S82,"gãy xương cẳng chân , bao gồm cổ chân"
S82.0,gãy ( vỡ ) xương bánh chè
S82.00,"gãy ( vỡ ) xương bánh chè , gãy kín"
S82.01,"gãy ( vỡ ) xương bánh chè , gãy hở"
S82.1,gãy đầu trên của xương chày
S78.0,chấn thương đứt lìa ở khớp háng
S78.1,chấn thương đứt lìa tầm giữa hông và khớp gối
S78.9,chấn thương đứt lìa của hông và đùi tầm không xác định
S79,tổn thương khác không xác định của hông và đùi
S79.7,đa tổn thương ở hông và đùi
S82.10,"gãy đầu trên của xương chày , gãy kín"
S82.11,"gãy đầu trên của xương chày , gãy hở"
S82.2,gãy thân xương chày
S82.20,"gãy thân xương chày , gãy kín"
S82.21,"gãy thân xương chày , gãy hở"
S82.3,gãy xương đầu dưới xương chày
S82.30,"gãy xương đầu dưới xương chày , gãy kín"
S82.31,"gãy xương đầu dưới xương chày , gãy hở"
S82.4,gãy xương mác đơn thuần
S82.40,"gãy xương mác đơn thuần , gãy kín"
S82.41,"gãy xương mác đơn thuần , gãy hở"
S82.5,gãy xương mắt cá trong
S76.4,tổn thương cơ và cân khác và không xác định tại tầm đùi
S76.7,tổn thương đa cơ và gân tầm hông và đùi
S77,tổn thương giập nát hông và đùi
S80.0,đụng giập tại đầu gối
S80.1,đụng giập tại phần khác và không xác định của cẳng chân
S80.7,nhiều ( đa ) tổn thương nông tại cẳng chân
S80.8,tổn thương nông khác tại cẳng chân
S77.0,tổn thương giập nát hông
S77.1,tổn thương giập nát đùi
S77.2,tổn thương giập nát hông với giập nát đùi
S78,chấn thương đứt lìa ở hông và đùi
S64.3,tổn thương dây thần kinh ngón tay của ngón tay cái
S64.4,tổn thương dây thần kinh ngón tay của ngón tay khác
S64.7,tổn thương đa dây thần kinh tại tầm cổ tay và bàn tay
S64.1,tổn thương dây thần kinh giữa tầm cổ tay và bàn tay
S64.2,tổn thương thần kinh quay tầm cổ tay và bàn tay
S69.9,tổn thương không xác định của cổ tay và bàn tay
S70,tổn thương nông tại hông và đùi
S68.9,chấn thương đứt lìa cổ tay và bàn tay tầm không xác định
S69,tổn thương khác và không xác định của cổ tay và bàn tay
S69.7,đa tổn thương cổ tay và bàn tay
S69.8,tổn thương xác định khác của cổ tay và bàn tay
S63.3,chấn thương đứt dây chằng cổ tay và khớp xương cổ tay
S63.4,chấn thương đứt dây chằng ngón tay tại xương đốt bàn tay ngón tay và khớp xương cổ tay và gian đốt ngón ( khớp )
S63.5,bong gân và căng cơ cổ tay
S63.6,bong gân và căng cơ các ngón tay
S70.0,đụng giập tại hông
S70.1,đụng giập tại đùi
S70.7,đa tổn thương nông tại hông và đùi
S71.7,đa vết thương hở ở hông và đùi
S71.8,vết thương hở phần khác và không xác định của khung chậu
S71.0,vết thương hở ở hông
S71.1,vết thương hở ở đùi
S68.1,chấn thương đứt lìa ngón tay khác ( toàn phần ) ( một phần )
S68.2,chấn thương đứt lìa hai hoặc nhiều ngón tay đơn thuần ( toàn phần ) ( một phần )
S68.3,chấn thương đứt lìa kết hợp một phần ngón tay với phần khác của cổ tay và bàn tay
S67.0,tổn thương giập nát ngón tay cái và các ngón tay khác
S67.8,tổn thương giập nát phần khác và không xác định của cổ tay và bàn tay
S68,chấn thương đứt lìa cổ tay và bàn tay
S68.0,chấn thương đứt lìa ngón tay cái ( toàn phần ) ( một phần )
S68.4,chấn thương đứt lìa tại cổ tay và bàn tay
S68.8,chấn thương đứt lìa phần khác của cổ tay và bàn tay
S59.7,đa tổn thương cẳng tay
S59.8,tổn thương khác được xác định ở cẳng tay
S59.9,tổn thương không xác định ở cẳng tay
S60,tổn thương nông ở cổ tay và bàn tay
S83.6,bong gân và căng cơ phần khác và không xác định khớp gối
S83.7,tổn thương đa cấu trúc khớp gối
S84,tổn thương dây thần kinh tại tầm cẳng chân
S83.5,bong gân và căng cơ ( phía trước ) ( phía sau ) do tổn thương dây chằng chéo khớp gối
S82.7,gãy nhiều vị trí xương cẳng chân
S82.70,"gãy nhiều vị trí xương cẳng chân , gãy kín"
S82.71,"gãy nhiều vị trí xương cẳng chân , gãy hở"
S82.8,gãy xương ở các phần khác của cẳng chân
S82.80,"gãy xương ở các phần khác của cẳng chân , gãy kín"
S82.50,"gãy xương mắt cá trong , gãy kín"
S82.51,"gãy xương mắt cá trong , gãy hở"
S82.6,gãy xương mắt cá ngoài
S82.60,"gãy xương mắt cá ngoài , gãy kín"
S82.61,"gãy xương mắt cá ngoài , gãy hở"
S83.0,trật khớp xương bánh chè
S83.1,trật khớp gối
S83.2,"vết rách sụn chêm , hiện tại"
S84.2,tổn thương dây thần kinh cảm giác da tại tầm cẳng chân
S84.7,tổn thương đa dây thần kinh tại tầm cẳng chân
S84.0,tổn thương dây thần kinh chày tại tầm cẳng chân
S84.1,tổn thương dây thần kinh mác tại tầm cẳng chân
S83.3,"rách sụn khớp gối , hiện tại"
S83.4,bong gân và căng cơ ( xương mác ) ( xương chày ) tổn thương phụ dây chằng khớp gối
S64.8,tổn thương dây thần kinh khác tại tầm cổ tay và bàn tay
S64.9,tổn thương dây thần kinh không xác định tầm cổ tay và bàn tay
S65,tổn thương mạch máu tại tầm cổ tay và bàn tay
S73.0,trật khớp háng
S73.1,bong gân và căng cơ của khớp háng
S72.40,"gãy xương đầu dưới xương đùi , gãy kín"
S72.41,"gãy xương đầu dưới xương đùi , gãy hở"
S72.7,gãy nhiều vị trí xương đùi
S72.70,"gãy nhiều vị trí xương đùi , gãy kín"
S72.71,"gãy nhiều vị trí xương đùi , gãy hở"
S72.8,gãy các phần khác của xương đùi
S72.80,"gãy xương phần khác xương đùi , gãy kín"
S72.00,"gãy cổ xương đùi , gãy kín"
S72.01,"gãy cổ xương đùi , gãy hở"
S72.20,"gãy dưới mấu chuyển , gãy kín"
S72.21,"gãy dưới mấu chuyển , gãy hở"
S72.1,gãy mấu chuyển
S72.10,"gãy mấu chuyển , gãy kín"
S72.11,"gãy mấu chuyển , gãy hở"
S72.2,gãy dưới mấu chuyển
S72,gãy xương đùi
S72.0,gãy cổ xương đùi
S72.81,"gãy xương phần khác xương đùi , gãy hở"
S72.9,"gãy xương đùi , phần không xác định"
S72.90,"gãy xương đùi phần không xác định , gãy kín"
S72.91,"gãy xương đùi phần không xác định , gãy hở"
S73,"trật khớp , bong gân và căng cơ khớp và dây chằng khớp háng"
S72.3,gãy thân xương đùi
S72.30,"gãy thân xương đùi , gãy kín"
S72.31,"gãy thân xương đùi , gãy hở"
S72.4,gãy xương đầu dưới xương đùi
S66.3,tổn thương cơ duỗi và gân ngón tay khác tại tầm cổ tay và bàn tay
S66.4,tổn thương cơ nội tại và gân ngón tay cái tại tầm cổ tay và bàn tay
S66.5,tổn thương cơ nội tại và gân ngón tay khác tại tầm cổ tay và bàn tay
S65.9,tổn thương mạch máu không xác định tại tầm cổ tay và bàn tay
S66,tổn thương cơ bắp và gân tại tầm cổ tay và bàn tay
S66.0,tổn thương cơ bắp gấp dài và gân ngón tay cái tại tầm cổ tay và bàn tay
S66.6,tổn thương đa cơ gấp và gân tại tầm cổ tay và bàn tay
S66.7,tổn thương đa cơ duỗi và gân tại tầm cổ tay và bàn tay
S66.8,tổn thương cơ khác và gân tầm cổ tay và bàn tay
S66.9,tổn thương cơ không xác định và gân tại tầm cổ tay và bàn tay
S67,tổn thương giập nát cổ tay và bàn tay
S60.9,tổn thương nông ở cổ tay và bàn tay không xác định
S61,vết thương hở ở cổ tay và bàn tay
S61.0,vết thương hở các ngón tay không tổn thương móng
S66.1,tổn thương cơ gấp và gân ngón tay khác tại tầm cổ tay và bàn tay
S66.2,tổn thương cơ duỗi và gân ngón tay cái tại tầm cổ tay và bàn tay
S62.31,"gãy xương đốt khác bàn tay , gãy hở"
S62.4,gãy nhiều xương đốt bàn tay
S62.40,"gãy nhiều xương đốt bàn tay , gãy kín"
S62.41,"gãy nhiều xương đốt bàn tay , gãy hở"
S62.5,gãy xương ngón tay cái
S62.50,"gãy xương ngón tay cái , gãy kín"
S62.51,"gãy xương ngón tay cái , gãy hở"
S65.0,tổn thương động mạch trụ tại tầm cổ tay và bàn tay
S65.1,tổn thương động mạch quay tầm cổ tay và bàn tay
S65.2,tổn thương nông cung gan bàn tay
S65.3,tổn thương sâu cung gan bàn tay
S65.4,tổn thương mạch máu ngón tay cái
S65.5,tổn thương mạch máu ngón tay khác
S65.7,tổn thương đa mạch máu tại tầm cổ tay và bàn tay
S65.8,tổn thương mạch máu khác tại tầm cổ tay và bàn tay
S27.8,tổn thương của các cơ quan xác định khác trong lồng ngực
S27.80,"tổn thương của các cơ quan khác đặc hiệu trong lồng ngực , có vết thương mở vào lồng ngực"
S33.3,trật khớp các phần không xác định và khác của gai thắt lưng và chậu
S33.4,vỡ khớp mu do chấn thương
S32.01,"gãy sống thắt lưng , gãy hở"
S32.1,gãy xương cùng
S32.10,"gãy xương cùng , gãy kín"
S32.11,"gãy xương cùng , gãy hở"
S32.2,gây xương cụt
S32.20,"gây xương cụt , gãy kín"
S27.81,"tổn thương của các cơ quan khác đặc hiệu trong lồng ngực , có vết thương mở vào lồng ngực"
S27.9,tổn thương của cơ quan không xác định trong lồng ngực
S27.90,"tổn thương của cơ quan không xác định trong lồng ngực , không có vết thương mở vào lồng ngực"
S27.91,"tổn thương của cơ quan trong lồng ngực không xác định , có vết thương mở vào lồng ngực"
S28,tổn thương giập nát của ngực và chấn thương đứt lìa phần của ngực
S28.0,giập nát ngực
S28.1,chấn thương đứt lìa phần của ngực
S32.21,"gây xương cụt , gãy hở"
S32.3,gãy xương chậu
S32.30,"gãy xương chậu , gãy kín"
S32.31,"gãy xương chậu , gãy hở"
S32.4,gãy xương ổ cối
S32.40,"gãy xương ổ cối , gãy kín"
S32.41,"gãy xương ổ cối , gãy hở"
S32.5,gãy xương mu
S32.50,"gãy xương mu , gãy kín"
S32.51,"gãy xương mu , gãy hở"
S33.5,bong gân và giãn khớp sống thắt lưng
S33.6,bong gân và giãn khớp cùng chậu
S29.8,tổn thương xác định khác của ngực
S29.9,tổn thương không xác định của ngực
S30,"tổn thương nông của bụng , lưng dưới và vùng chậu"
S29,tổn thương khác và không xác định của ngực
S29.0,tổn thương cơ và gân vùng ngực
S29.7,tổn thương phức tạp của ngực
S31.8,vết thương hở của các phần không xác định và khác của bụng
S32,gãy cột sống thắt lưng và vùng chậu
S32.0,gãy đốt sống thắt lưng
S32.00,"gãy sống thắt lưng , gãy kín"
S27.7,đa tổn thương của các cơ quan trong lồng ngực
S27.70,"đa tổn thương của các cơ quan trong lồng ngực , không có vết thương mở vào lồng ngực"
S27.71,"đa tổn thương của các cơ quan trong lồng ngực , có vết thương mở vào lồng ngực"
S60.0,đụng giập các ngón tay không tổn thương móng
S60.1,đụng giập các ngón tay với tổn thương móng
S60.2,đụng giập các phần khác cổ tay và bàn tay
S57.9,"tổn thương giập nát ở cẳng tay , phần không xác định"
S58,chấn thương đứt lìa ở cẳng tay
S58.0,chấn thương đứt lìa ở tầm khuỷu tay
S58.1,chấn thương đứt lìa ở tầm giữa khuỷu và cổ tay
S58.9,"chấn thương đứt lìa ở cẳng tay , tầm không xác định"
S59,tổn thương khác và không xác định của cẳng tay
S62.80,"gãy xương khác và phần không xác định cổ tay và bàn tay , gãy kín"
S62.81,"gãy xương khác và phần không xác định cổ tay và bàn tay , gãy hở"
S63,"trật khớp , bong gân và căng cơ của khớp và dây chằng tầm cổ tay và bàn tay"
S63.0,trật khớp cổ tay
S63.1,trật khớp ngón tay
S63.2,trật khớp nhiều ngón tay
S62.2,gãy xương đốt đầu bàn tay
S62.20,"gãy xương đốt đầu bàn tay , gãy kín"
S62.21,"gãy xương đốt đầu bàn tay , gãy hở"
S62.3,gãy xương đốt khác bàn tay
S62.30,"gãy xương đốt khác bàn tay , gãy kín"
S62.0,gãy xương của xương thuyền bàn tay
S62.00,"gãy xương của xương thuyền bàn tay , gãy kín"
S62.01,"gãy xương của xương thuyền bàn tay , gãy hở"
S62.1,gãy xương khớp cổ tay khác
S62.10,"gãy xương khớp cổ tay khác , gãy kín"
S62.11,"gãy xương khớp cổ tay khác , gãy hở"
S64.0,tổn thương thần kinh trụ tầm cổ tay và bàn tay
S56.8,tổn thương các gân và cơ khác và không xác định tầm cẳng tay
S57,tổn thương giập nát ở cẳng tay
S57.0,tổn thương giập nát ở khuỷu tay
S57.8,tổn thương giập nát ở phần khác cẳng tay
S63.7,bong gân và căng cơ phần khác và không xác định của bàn tay
S64,tổn thương dây thần kinh tầm cổ tay và bàn tay
S61.9,"vết thương hở của cổ tay và bàn tay , phần không xác định"
S62,gãy xương tầm cổ tay và bàn tay
S62.6,gãy xương các ngón tay khác
S62.60,"gãy xương các ngón tay khác , gãy kín"
S62.61,"gãy xương các ngón tay khác , gãy hở"
S62.7,gãy nhiều xương ngón tay
S62.70,"gãy nhiều xương ngón tay , gãy kín"
S62.71,"gãy nhiều xương ngón tay , gãy hở"
S62.8,gãy xương khác và phần không xác định cổ tay và bàn tay
V66.3,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , người đi trên xe tải nặng bị thương trong tai nạn không giao thông"
V66.4,"người đi xe tải nặng bị thương khi va chạm với xe thô sơ khác , người bị thương khi lên hoặc xuống xe"
V61.3,"người đi xe tải nặng bị thương khi va chạm với xe đạp , người đi trên xe tải nặng bị thương trong tai nạn không giao thông"
V61.4,"người đi xe tải nặng bị thương khi va chạm với xe đạp , người bị thương khi lên hoặc xuống xe"
V87.2,người bị thương trong va chạm giữa ô tô và xe tải thu góp hay xe tải ( do giao thông )
V87.3,người bị thương trong va chạm giữa ô tô và xe buýt ( do giao thông )
V87.4,người bị thương trong va chạm giữa ô tô và xe tải nặng ( do giao thông )
V87.5,người bị thương trong va chạm giữa xe tải nặng và xe buýt ( do giao thông )
V87.6,người bị thương trong va chạm giữa tàu hỏa hay phương tiện đi trên ray và ô tô ( do giao thông )
V87.7,người bị thương trong va chạm các xe cơ giới đặc chủng khác ( do giao thông )
V87.8,người bị thương trong tai nạn giao thông xác định khác không có va chạm của xe cơ giới ( giao thông )
V87.9,người bị thương trong tai nạn giao thông xác định khác ( có va chạm ) ( không va chạm ) của xe thô sơ ( giao thông )
V85.6,người đi xe xây dựng bị thương không phải do tai nạn giao thông
V85.7,người ở bên ngoài xe xây dựng bị thương không phải do tai nạn giao thông
V85.9,người đi trên xe xây dựng chuyên dụng bị thương không phải do tai nạn giao thông
V86,người đi xe đặc chủng mọi địa hình hay xe cơ giới khác thiết kế nguyên thủy cho sử dụng ngoài quốc lộ bị thương trong tai nạn giao thông
V86.3,người ở xe địa hình hay xe máy địa hình không xác định bị thương trong tai nạn giao thông
V86.4,người bị thương trong khi lên xuống xe địa hình hay xe máy địa hình
V86.5,lái xe của xe địa hình hay xe máy địa hình bị thương không phải do tai nạn giao thông
V86.6,người đi xe địa hình hay xe máy địa hình bị thương không phải do tai nạn giao thông
V86.7,người ở bên ngoài xe địa hình hay xe máy địa hình bị thương không phải do tai nạn giao thông
V86.0,lái xe địa hình hay xe máy địa hình bị thương trong tai nạn giao thông
V86.1,người đi xe địa hình hay xe máy địa hình bị thương trong tai nạn giao thông
V86.2,người ở bên ngoài xe địa hình hay xe máy địa hình bị thương trong tai nạn giao thông
V86.9,người trên xe địa hình hay xe máy địa hình không xác định bị thương không phải do tai nạn giao thông
V87,tai nạn giao thông không rõ phương tiện vận tải của nạn nhân
V87.0,người bị thương trong va chạm giữa ô tô và xe cơ giới 2 hoặc 3 bánh ( do giao thông )
V87.1,người bị thương trong va chạm giữa xe cơ giới và mô tô 2 hoặc 3 bánh ( do giao thông )
V88,tai nạn không giao thông xác định nhưng không biết phương tiện di chuyển của nạn nhân
V88.0,người bị thương trong va chạm giữa ô tô và mô tô 2 hoặc 3 bánh không phải do giao thông
V88.1,người bị thương trong va chạm giữa xe cơ giới khác và mô tô 2 hoặc 3 bánh không phải do giao thông
V88.2,người bị thương trong va chạm giữa ô tô và xe tải thu góp hay tải không phải do giao thông
T26.1,"bỏng kết mạc , giác mạc"
T26.2,bỏng với hậu quả gây vỡ và phá hủy nhãn cầu
T26.3,bỏng tại phần khác của mắt và phần phụ của mắt
T81.6,"phản ứng cấp tính do chất lạ vô ý để lại trong khi phẫu thuật , thủ thuật"
T81.7,"biến chứng huyết quản sau phẫu thuật , thủ thuật , không phân loại nơi khác"
T81.8,"biến chứng khác sau phẫu thuật , thủ thuật , không phân loại nơi khác"
T81.9,"biến chứng không xác định sau phẫu thuật , thủ thuật"
T82,"biến chứng các thiết bị nhân tạo của tim và huyết quản , implant và vật ghép"
T83.2,biến chứng cơ học của ghép cơ quan tiết niệu
T83.3,biến chứng cơ học của thiết bị tránh thai trong tử cung
T83.4,"biến chứng cơ học của thiết bị nhân tạo khác , implant và vật ghép trong đường sinh dục"
V25.9,"người đi xe máy bị thương khi va chạm với tàu hỏa , ô tô ray , người đi xe bị thương trong tai nạn giao thông"
V26,người đi xe máy bị thương khi va chạm với xe thô sơ khác
V26.0,"người đi xe máy bị thương khi va chạm với xe thô sơ khác , người lái xe bị thương trong tai nạn không giao thông"
V26.1,"người đi xe máy bị thương khi va chạm với xe thô sơ khác , hành khách bị thương trong tai nạn không giao thông"
V26.2,"người đi xe máy bị thương khi va chạm với xe thô sơ khác , người đi xe bị thương trong tai nạn không giao thông"
V26.3,"người đi xe máy bị thương khi va chạm với xe thô sơ khác , người bị thương trong khi lên hoặc xuống xe"
V26.4,"người đi xe máy bị thương khi va chạm với xe thô sơ khác , người lái xe bị thương trong tai nạn giao thông"
V26.5,"người đi xe máy bị thương khi va chạm với xe thô sơ khác , hành khách bị thương trong tai nạn giao thông"
V28.1,"người đi xe máy bị thương trong tai nạn giao thông không có va chạm , hành khách bị thương trong tai nạn không giao thông"
V28.2,"người đi xe máy bị thương trong tai nạn giao thông không có va chạm , người đi xe bị thương trong tai nạn không giao thông"
V28.3,"người đi xe máy bị thương trong tai nạn giao thông không có va chạm , người bị thương trong khi lên hoặc xuống xe"
V28.4,"người đi xe máy bị thương trong tai nạn giao thông không có va chạm , người lái xe bị thương trong tai nạn giao thông"
V28.5,"người đi xe máy bị thương trong tai nạn giao thông không có va chạm , hành khách bị thương trong tai nạn giao thông"
V28.9,"người đi xe máy bị thương trong tai nạn giao thông không có va chạm , người đi xe bị thương trong tai nạn giao thông"
